,group,recommend,typeNames,method,location,overallScore
77,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowmouth Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.67
78,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowmouth Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.8369999999999997
79,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Inside Rockfish)",3.2460000000000004
80,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",3.2460000000000004
81,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",3.2460000000000004
82,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Inside Rockfish)",3.2460000000000004
83,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",3.2460000000000004
84,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.7460000000000004
85,Rockfish,GOOD ALTERNATIVE,"Rockfish, Yellowtail Green Rockfish, Pacific snapper, Rock cod, Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.918
86,Rockfish,AVOID,"Rockfish, China Yellowspotted Rockcod, Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
87,Rockfish,AVOID,"Rockfish, China Yellowspotted Rockcod, Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
88,Rockfish,AVOID,"Rockfish, China Yellowspotted Rockcod, Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
89,Rockfish,AVOID,"Rockfish, Copper Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
90,Rockfish,AVOID,"Rockfish, Copper Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
91,Rockfish,AVOID,"Rockfish, Copper Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
92,Rockfish,AVOID,"Rockfish, Darkblotched Blackmouth Rockfish, Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.365
93,Rockfish,AVOID,"Rockfish, Darkblotched Blackmouth Rockfish, Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
94,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
95,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Longline (deep-set),"Canada - British Columbia, Northeast Pacific Ocean",2.6319999999999997
96,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
97,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
98,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
99,Rockfish,AVOID,"Rockfish, Redbanded Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.365
100,Rockfish,AVOID,"Rockfish, Redstripe Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.365
101,Rockfish,AVOID,"Rockfish, Redstripe Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
102,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
103,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
104,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.365
105,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
106,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Longline (deep-set),"Canada - British Columbia, Northeast Pacific Ocean",2.6319999999999997
107,Rockfish,AVOID,"Rockfish, Rougheye Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
108,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
109,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
110,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.366
111,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
112,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Longline (deep-set),"Canada - British Columbia, Northeast Pacific Ocean",2.6319999999999997
113,Rockfish,AVOID,"Rockfish, Shortraker Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
114,Rockfish,AVOID,"Rockfish, Shortspine Thornyhead Shortspine Channel Rockfish, Spinycheek Rockfish, Thornyhead, Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (soft substrate)",2.6039999999999996
115,Rockfish,AVOID,"Rockfish, Tiger Blackbanded Rockcod, Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
116,Rockfish,AVOID,"Rockfish, Tiger Blackbanded Rockcod, Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
117,Rockfish,AVOID,"Rockfish, Tiger Blackbanded Rockcod, Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
118,Rockfish,AVOID,"Rockfish, Widow Pacific Snapper, Rock Cod, Rockfish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (hard substrate)",2.226
119,Rockfish,AVOID,"Rockfish, Widow Pacific Snapper, Rock Cod, Rockfish",Midwater trawls,"Canada - British Columbia, Northeast Pacific Ocean",2.365
120,Rockfish,AVOID,"Rockfish, Yelloweye Pacific Snapper, Rasphead Rockfish, Rockfish",Jig,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
121,Rockfish,AVOID,"Rockfish, Yelloweye Pacific Snapper, Rasphead Rockfish, Rockfish",Longline (deep-set),"Canada - British Columbia, Northeast Pacific Ocean",2.6319999999999997
122,Rockfish,AVOID,"Rockfish, Yelloweye Pacific Snapper, Rasphead Rockfish, Rockfish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
123,Rockfish,AVOID,"Rockfish, Yelloweye Pacific Snapper, Rasphead Rockfish, Rockfish",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (Outside Rockfish)",2.6319999999999997
124,Rockfish,,"Rockfish, Chilipepper             Pacific Snapper, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
125,Rockfish,,"Rockfish, Light Dusky             Rockfish",Bottom trawls,"MSC Certified, Marine Stewardship Council Certified Fisheries (Aleutian Islands and Bering Sea)",10.0
126,Rockfish,,"Rockfish, Longspine Thornyhead             Longspine Channel Rockfish, Spinycheek Rockfish, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
127,Rockfish,,"Rockfish, Northern             Multispined Bass, Rockfish",Bottom trawls,"MSC, Marine Stewardship Council Certified Fisheries (Aleutian Islands and Bering Sea)",10.0
128,Rockfish,,"Rockfish, Pacific Ocean Perch             Ocean Perch, Pacific Rockfish, Rockfish",Bottom trawls,"MSC, Marine Stewardship Council Certified Fisheries (Aleutian Islands and Bering Sea)",10.0
129,Rockfish,,"Rockfish, Shortspine Thornyhead             Shortspine Channel Rockfish, Spinycheek Rockfish, Thornyhead, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
130,Rockfish,,"Rockfish, Splitnose             Lobejawed Rockfish, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
131,Rockfish,,"Rockfish, Widow             Pacific Snapper, Rock Cod, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
132,Rockfish,,"Rockfish, Yellowtail             Green Rockfish, Pacific snapper, Rock cod, Rockfish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
0,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - California, Eastern Central Pacific Ocean (California Groundfish Collective)",3.595
1,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Pots,"U.S. - Alaska, Northeast Pacific Ocean (Sablefish pot)",4.598
2,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Bottom trawls,"U.S. - California, Eastern Central Pacific Ocean (California Groundfish Collective, soft substrate)",3.536
3,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (Open access longline, north of Lucia)",3.5839999999999996
4,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Pots,"U.S. - West Coast, Pacific Ocean (Limited entry non-endorsed sablefish pot)",3.613
5,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Pots,"U.S. - West Coast, Pacific Ocean (Limited entry endorsed sablefish pot)",3.716
6,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (IFQ longline)",3.216
7,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Traps (unspecified),"U.S. - California, Eastern Central Pacific Ocean (California Groundfish Collective)",3.595
8,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Pots,"U.S. - West Coast, Pacific Ocean (IFQ pot)",3.716
9,Sablefish,BEST CHOICE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Marine net pen,"Canada - British Columbia, Northeast Pacific Ocean",6.79
10,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (Limited entry non-endorsed longline, south of Lucia)",3.075
11,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (Open access longline, south of Lucia)",3.075
12,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Bottom trawls,"U.S. - West Coast, Pacific Ocean (IFQ trawl)",2.958
13,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Bottom trawls,"Canada - British Columbia, Northeast Pacific Ocean (soft substrate)",3.005
14,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (Limited entry endorsed sablefish longline)",3.128
15,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"Canada - British Columbia, Northeast Pacific Ocean",3.037
16,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Longline (deep-set),"Canada - British Columbia, Northeast Pacific Ocean",3.037
17,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - West Coast, Pacific Ocean (Limited entry non-endorsed longline, north of Lucia)",3.076
18,Sablefish,GOOD ALTERNATIVE,"Sablefish                         Alaska Cod, Black Cod, Butterfish, Gindara, Sablefish",Set longlines,"U.S. - Alaska, Northeast Pacific Ocean (Sablefish longline)",3.7
19,Sablefish,,"Sablefish             Alaska cod, Black cod, Butterfish, Gindara, Sablefish",Longlines,Marine Stewardship Council Certified Fisheries (U.S. North Pacific),10.0
20,Sablefish,,"Sablefish             Alaska cod, Black cod, Butterfish, Gindara, Sablefish",Otter trawls,Marine Stewardship Council Certified Fisheries (U.S. West Coast),10.0
0,Salmon,BEST CHOICE,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Norway - Nordland, Skjerstad Fjord",7.17
1,Salmon,BEST CHOICE,"Salmon, Atlantic Sake, Salmon",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
2,Salmon,BEST CHOICE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Marine net pen,New Zealand - Southwest Pacific Ocean,6.78
3,Salmon,BEST CHOICE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Freshwater net pen,New Zealand - Oceania - Inland waters,7.87
4,Salmon,BEST CHOICE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
5,Salmon,BEST CHOICE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
6,Salmon,BEST CHOICE,"Salmon, Pink Humpback salmon, Pink, Sake",Lift nets (unspecified),"U.S. - Washington, Northeast Pacific Ocean",3.5
7,Salmon,BEST CHOICE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Lift nets (unspecified),"U.S. - Washington, Northeast Pacific Ocean (Early summer run)",3.51
8,Salmon,BEST CHOICE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Indoor recirculating tank (with wastewater treatment),Worldwide,6.91
9,Salmon,GOOD ALTERNATIVE,"Salmon, Atlantic Sake, Salmon",Marine net pen,Faroe Islands - Northeast Atlantic Ocean,3.85
10,Salmon,GOOD ALTERNATIVE,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Canada - British Columbia, Northeast Pacific Ocean",4.28
11,Salmon,GOOD ALTERNATIVE,"Salmon, Atlantic Sake, Salmon",Marine net pen,"U.S. - Maine, Northwest Atlantic Ocean",4.83
12,Salmon,GOOD ALTERNATIVE,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Scotland - Orkney Islands, Northeast Atlantic Ocean",4.36
13,Salmon,GOOD ALTERNATIVE,"Salmon, Atlantic Sake, Salmon",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
14,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,U.S. - Eastern Central Pacific Ocean (Chinook fishery - Horse Mt. to U.S./Mexico Border),2.238
15,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,U.S. - North America - Inland waters: Klamath River (Chinook fishery),2.58
16,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,U.S. - Northeast Pacific Ocean (Chinook fishery - Cape Falcon to Humbug Mt.),2.633
17,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,U.S. - Northeast Pacific Ocean (Chinook fishery - Humbug Mt. to Horse Mt.),2.369
18,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"U.S. - Washington, Northeast Pacific Ocean (Chinook fishery)",2.838
19,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,U.S. - North America - Inland waters: Columbia River (Chinook fishery),2.58
20,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,"U.S. - Oregon, Northeast Pacific Ocean (Chinook fishery - North of Cape Falcon)",2.369
21,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Central Coast)",3.13
22,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"Canada - British Columbia, North America - Inland waters (Transboundary)",3.39
23,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (North Coast)",2.77
24,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,"Canada - Vancouver Island, Northeast Pacific Ocean (West Coast)",2.62
25,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Area D)",3.18
26,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (North Coast)",3.13
27,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Marine net pen,"Canada - British Columbia, Northeast Pacific Ocean",6.52
28,Salmon,GOOD ALTERNATIVE,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
29,Salmon,GOOD ALTERNATIVE,"Salmon, Chum Chum, Keta salmon, Sake",Drift gillnets,U.S. - Northeast Pacific Ocean: Puget Sound (Chum fishery),2.58
30,Salmon,GOOD ALTERNATIVE,"Salmon, Chum Chum, Keta salmon, Sake",Drift gillnets,"U.S. - Washington, Northeast Pacific Ocean (Chum fishery)",2.9419999999999997
31,Salmon,GOOD ALTERNATIVE,"Salmon, Chum Chum, Keta salmon, Sake",Purse seines,U.S. - Northeast Pacific Ocean: Puget Sound (Chum fishery),2.58
32,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,"Canada - British Columbia, North America - Inland waters (Transboundary)",3.0
33,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Trolling lines,"Canada - Vancouver Island, Northeast Pacific Ocean (West Coast)",2.63
34,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Central Coast)",3.13
35,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,"U.S. - Washington, Northeast Pacific Ocean (Coho fishery)",2.838
36,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Purse seines,U.S. - Northeast Pacific Ocean: Puget Sound (Coho fishery),2.58
37,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Trolling lines,U.S. - Northeast Pacific Ocean: Puget Sound (Coho fishery),2.369
38,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Trolling lines,"U.S. - Oregon, Northeast Pacific Ocean (Coho fishery - North of Cape Falcon)",2.238
39,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Purse seines,"Canada - British Columbia, Northeast Pacific Ocean (North Coast)",3.13
40,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Trolling lines,"Canada - British Columbia, Northeast Pacific Ocean (North Coast)",2.93
41,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (Area D)",2.71
42,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,U.S. - Northeast Pacific Ocean: Puget Sound (Coho fishery),2.58
43,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Gillnets and entangling nets (unspecified),U.S. - North America - Inland waters: Columbia River (Coho fishery below Bonneville Dam),2.673
44,Salmon,GOOD ALTERNATIVE,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
45,Salmon,GOOD ALTERNATIVE,"Salmon, Pink Humpback salmon, Pink, Sake",Drift gillnets,U.S. - Northeast Pacific Ocean: Puget Sound (Pink fishery),2.858
46,Salmon,GOOD ALTERNATIVE,"Salmon, Pink Humpback salmon, Pink, Sake",Trolling lines,U.S. - Northeast Pacific Ocean: Puget Sound (Pink fishery),2.6239999999999997
47,Salmon,GOOD ALTERNATIVE,"Salmon, Pink Humpback salmon, Pink, Sake",Purse seines,U.S. - Northeast Pacific Ocean: Puget Sound (Pink fishery),2.858
48,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Lift nets (unspecified),"U.S. - Washington, Northeast Pacific Ocean (Late summer run)",2.83
49,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Drift gillnets,"U.S. - Washington, Northeast Pacific Ocean (Sockeye fishery)",2.9419999999999997
50,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback Salmon, Red Salmon, Sake, Sockeye",Lift nets (unspecified),"U.S. - Washington, Northeast Pacific Ocean (Summer run)",3.24
51,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Purse seines,U.S. - Northeast Pacific Ocean: Puget Sound (Sockeye fishery),2.674
52,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Drift gillnets,U.S. - Northeast Pacific Ocean: Puget Sound (Sockeye fishery),2.674
53,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Drift gillnets,U.S. - North America - Inland waters: Columbia River (Sockeye fishery),2.58
54,Salmon,GOOD ALTERNATIVE,"Salmon, Sockeye Blueback salmon, Red salmon, Sake, Sockeye",Indoor recirculating tank (without wastewater treatment),Worldwide,6.63
55,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Scotland - Western Isles, Northeast Atlantic Ocean",2.65
56,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,Chile - Southeast Pacific Ocean,3.65
57,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,Norway - Northeast Atlantic Ocean,2.66
58,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,Canada - Northwest Atlantic Ocean,4.42
59,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Scotland - Mainland, Northeast Atlantic Ocean",2.65
60,Salmon,AVOID,"Salmon, Atlantic Sake, Salmon",Marine net pen,"Scotland - Shetland Islands, Northeast Atlantic Ocean",2.65
61,Salmon,AVOID,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Purse seines,U.S. - Northeast Pacific Ocean: Puget Sound (Chinook fishery),2.124
62,Salmon,AVOID,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Trolling lines,U.S. - Northeast Pacific Ocean: Puget Sound (Chinook fishery),1.755
63,Salmon,AVOID,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,U.S. - Northeast Pacific Ocean: Puget Sound (Chinook fishery),1.911
64,Salmon,AVOID,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (South Coast)",2.58
65,Salmon,AVOID,"Salmon, Chinook King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Purse seines,"Canada - British Columbia, Northeast Pacific Ocean (South Coast)",2.58
66,Salmon,AVOID,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Marine net pen,Chile - Southeast Pacific Ocean,3.84
67,Salmon,AVOID,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,U.S. - North America - Inland waters: Columbia River (Coho fishery above Bonneville Dam),2.124
68,Salmon,AVOID,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Drift gillnets,"Canada - British Columbia, Northeast Pacific Ocean (South Coast)",2.58
69,Salmon,AVOID,"Salmon, Coho Coho, Medium Red Salmon, Sake, Silver Salmon",Purse seines,"Canada - British Columbia, Northeast Pacific Ocean (South Coast)",2.58
70,Salmon,,"Salmon, Atlantic             Sake, Salmon",All production methods,Aquaculture Stewardship Council Certified Salmon Farms (Worldwide),10.0
71,Salmon,,"Salmon, Chinook             King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Seine nets,Marine Stewardship Council Certified Fisheries (Alaska),10.0
72,Salmon,,"Salmon, Chinook             King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon","Barriers, fences, weirs, corrals, etc.",Marine Stewardship Council Certified Fisheries (Alaska),10.0
73,Salmon,,"Salmon, Chinook             King Salmon, Quinnat Salmon, Sake, Spring Salmon, Tyee Salmon",Drift nets,Marine Stewardship Council Certified Fisheries (Alaska),10.0
